State Farm,8807303,2744.00,14
AllState,6430571,2578.00,18
Progressive,5309645,1087.00,29
Gieco,6730328,2347.00,30
USAA,4807603,2069.00,25
Liberty Mutual,4268553,1166.00,29
Farmers,6535912,2880.00,30
State Farm,4370732,1827.00,15
AllState,4830001,2277.00,24
Progressive,6499155,2550.00,19
Gieco,8726763,936.00,19
USAA,4222556,2246.00,15
Liberty Mutual,5102529,1349.00,29
Farmers,4628417,2381.00,25
Nationwide,5541118,1321.00,14
Travelers,9967193,694.00,30
American Family,4238399,1753.00,29
Nationwide,6860067,2712.00,27
Travelers,9549647,1636.00,27
American Family,7445431,1262.00,23
State Farm,4852617,2796.00,24
AllState,4556605,1661.00,18
Progressive,5115613,2550.00,22
Gieco,8947323,1271.00,28
USAA,9647747,1548.00,21
Liberty Mutual,4604422,1570.00,19
Farmers,5225212,1267.00,18
Nationwide,4658981,723.00,18
Travelers,5998498,2790.00,16
American Family,4524443,2668.00,18
State Farm,6690297,1158.00,16
AllState,7766165,1915.00,29
State Farm,6637847,1952.00,21
AllState,6449899,2554.00,26
Progressive,7585321,598.00,25
Gieco,6275573,553.00,17
USAA,9678410,1298.00,28
Liberty Mutual,9357284,1358.00,18
Farmers,9196567,1443.00,25
Nationwide,8424247,1171.00,19
Travelers,7875137,2355.00,26
American Family,8816972,1911.00,14
Progressive,7757859,1717.00,30
Gieco,9794508,2207.00,18
USAA,9436103,1040.00,29
Liberty Mutual,5927209,1180.00,16
Farmers,8674762,915.00,24
Nationwide,7086915,2431.00,16
Travelers,8603528,1379.00,20
American Family,5757506,848.00,29
